PRECIPITATION NORMALS (Total in Inches),,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,,,
,,,,,,,,From Climatography of the US 81: Monthly Station Normals 1971-2000 Wisconsin,,,,,,,,At http://www5.ncdc.noaa.gov/climatenormals/clim81/WInorm.txt,,,,
COOPID,NO.,STATION NAME,,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
________,,,,LATITUDE,LONGITUDE,ELEV,ZONE,,,,,,,,,,,,,
471847,34,COUDERAY 7 W,,45.8,-91.467,1300,1,1.07,0.96,1.87,2.63,3.27,4.48,4.76,4.72,4.37,3.29,2.08,1.02,34.52
471897,35,CRIVITZ HIGH FALLS,,45.35,-88.2,1050,3,1.18,0.89,1.88,2.49,3.26,3.51,3.29,3.67,3.71,2.27,2.19,1.49,29.83
471923,36,CUMBERLAND,,45.533,-92.017,1240,1,1.19,0.93,1.82,2.65,3.28,4.55,4.38,4.59,4.1,2.64,2.26,1.14,33.53
471931,37,CURTISS,,44.95,-90.433,1370,5,1.22,0.94,1.86,2.62,3.28,4.23,4.77,4.4,3.97,2.47,2.11,1.32,33.19
471970,38,DALTON,,43.65,-89.2,860,5,1.26,1.13,2.26,3.11,3.57,4.08,4.19,3.87,3.6,2.4,2.41,1.42,33.3
471978,39,DANBURY,,46,-92.367,925,1,0.98,0.79,1.68,2.08,3.3,4.12,4.52,4.38,3.34,2.32,1.92,0.96,30.39
472001,40,DARLINGTON,,42.683,-90.1,930,7,1.25,1.29,2.28,3.47,3.65,4.67,4.19,4.34,3.49,2.26,2.42,1.56,34.87
472165,41,DODGE,,44.133,-91.55,685,4,1.03,0.92,2.1,3.48,3.87,3.81,4.62,4.21,3.63,2.13,2.47,1.37,33.64
472173,42,DODGEVILLE,,42.983,-90.117,1110,7,1.33,1.33,2.65,3.66,3.8,4.42,4.61,4.63,3.32,2.42,2.56,1.59,36.32
472240,43,DRUMMOND,,46.333,-91.267,1340,1,1.27,0.85,1.79,2.32,3.69,3.99,4.86,4.33,4.22,3.18,2.45,1.3,34.25
472314,44,EAGLE RIVER,,45.917,-89.25,1645,2,1.29,0.8,1.67,2.1,3.17,3.52,3.62,3.92,3.78,2.41,2.06,1.25,29.59
472428,45,EAU CLAIRE RGNL AP,,44.867,-91.483,885,4,1.04,0.8,1.86,2.91,3.69,4.27,3.94,4.68,3.74,2.24,1.92,1.03,32.12
472447,46,EAU PLEINE RESERVOIR,,44.717,-89.75,1138,2,1.1,0.98,1.86,2.89,3.75,3.95,4.05,4.48,3.84,2.47,2.33,1.31,33.01
472556,47,ELLSWORTH 1 E,,44.733,-92.467,1030,4,1.06,0.76,1.97,2.99,3.88,4.51,4.55,4.79,3.93,2.49,2.37,1.12,34.42
472678,48,FAIRCHILD RANGER STA,,44.6,-90.967,1080,4,1.14,0.84,1.97,2.95,3.58,4.35,4.39,4.48,4.24,2.52,2.25,1.23,33.94
472839,49,FOND DU LAC,,43.8,-88.45,760,6,1.09,1,1.86,2.78,2.93,3.57,3.52,4.18,3.5,2.36,1.97,1.39,30.15
472869,50,FORT ATKINSON,,42.9,-88.85,800,8,1.39,1.32,2.1,3.42,3.25,3.79,3.92,4.16,3.41,2.56,2.49,1.65,33.46
472889,51,FOXBORO,,46.483,-92.283,932,1,0.96,0.7,1.5,2.04,3.09,4.28,4.47,4.26,3.88,2.5,2.12,0.87,30.67
